LANGE MOVEMENT CALIBRE CHARACTERISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
updated 30AUG24  |  Please e-mail corrections and additions to this address:  sportdeath @  comcast . net  (remove the spaces around the @ and .),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAL. NUMBERING: ""Lwxy.z"" → ""wx""=year development began, ""y""=sequence # in that development year, ""z""=variation # (Ex: L043.5 = 3rd movement developed in 2004 & 5th variation of base cal. L043; L901.0 development began 1990)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE LOOK FOR THIS STOLEN LANGE WATCH, CLICK HERE: # 39/100 (caseback # 117439, movement # 7439)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOVEMENT CALIBRE,Typical Model,Years Sold,Winding Type,Diameter (mm),Height (mm),Parts,Rubies,Diamonds,Chatons,Power Reserve (hours),Frequency,Balance Adjust,Balance Spring,Barrels,Tourbillon,Fusée & Chain,Acoustics,Seconds Mechanism,Column Wheel,Power Reserve Display,Hours/ Minutes,Seconds,Date,Day,Week,Month,Leap Year,Time Zone,Day/Night or 12/24H,Moonphase,Chronograph,Flyback,Split,Notes
L121.3,Lange 1 Moonphase,2017-now,Manual,30.60,6.30,438,47,0,8,72,"  21,600   ",weights,Lange in-house,2,no,no,none,stop,no,subdial,subdial,subdial,Big Date,no,no,no,no,no,sky disc,yes,no,no,no,revision of cal. L901.5
L122.1,Richard Lange Minute Repeater,2022-now,Manual,30.00,5.40,415,30,0,4,72,"  21,600   ",screws,Lange in-house,1,no,no,minute repeater,stop,no,no,center,subdial,no,no,no,no,no,no,no,no,no,no,no,
L132.1,Triple Split,2018-now,Manual,30.60,9.40,567,46,0,5,55,"  21,600   ",weights,Lange in-house,1,no,no,none,stop,2,subdial,center,subdial,no,no,no,no,no,no,no,no,yes,yes,hr/min/sec,
L133.1,"Tourbograph Perpetual ""Pour le Mérite""",2017-now,Manual,32.00,10.90,684 + 636 in chain,52,2,6,36,"  21,600   ",screws,Lange in-house,1,yes,yes,none,N/A,2,no,center,none,subdial,subdial,no,subdial,subdial,no,no,yes,yes,no,yes,
L141.1,Lange 1 Timezone,2020-now,Manual,34.10,6.70,448,38,0,3,72,"  21,600   ",screws,Lange in-house,1,no,no,none,stop,no,subdial,subdial,subdial,Big Date,no,no,no,no,subdial,disc,no,no,no,no,DST indicator
L155.1,Odysseus Datomatic,2019-now,Automatic,32.90,6.20,312,31,0,1,50,"  28,800   ",screws,Lange in-house,1,no,no,none,stop,no,no,center,subdial,Big Date,window,no,no,no,no,no,no,no,no,no,
L156.1,Odysseus Chronograph,2023-now,Automatic,34.90,8.40,516,52,0,4,50,"  28,800   ",screws,Lange in-house,1,no,no,none,stop,no,no,center,subdial,Big Date,window,no,no,no,no,no,no,yes,no,no,
L1902,Grand Complication,2013-2015,Manual,40.50,14.20,876,67,0,7,30/42,"  18,000   ",screws,Lange in-house,3,no,no,grand strike/ small strike/ min. repeater,non-hacking,2,no,center,"subdial, flying seconds",subdial,subdial,no,subdial,subdial,no,no,yes,yes,no,yes,
L1924,1815 Homage to Walter Lange,2018,Manual,31.60,6.10,253,36,0,3,60,"  21,600   ",screws,Lange in-house,1,no,no,none,stoppable + jumping (center),yes,no,center,subdial,no,no,no,no,no,no,no,no,no,no,no,
L901.0,Lange 1,1994-2016,Manual,30.40,5.90,365,53,0,9,72,"  21,600   ",screws,Nivarox®,2,no,no,none,stop,no,subdial,subdial,subdial,Big Date,no,no,no,no,no,no,no,no,no,no,
L901.1,Lange 1A,1998-2001,Manual,30.40,5.90,365,53,0,9,72,"  21,600   ",screws,Nivarox®,2,no,no,none,stop,no,subdial,subdial,subdial,Big Date,no,no,no,no,no,no,no,no,no,no,"WG escape lever & wheel; WG engraved pallet, escape wheel, balance bridge"
L901.2,Grand Lange 1,2003-2012,Manual,30.40,5.90,365,53,0,9,72,"  21,600   ",screws,Nivarox®,2,no,no,none,stop,no,subdial,subdial,subdial,Big Date,no,no,no,no,no,no,no,no,no,no,probably same as L901.0 but with larger diameter base plate for larger case
L901.4,Lange 1,2001-2017,Manual,30.40,5.90,365,53,0,9,72,"  21,600   ",screws,Nivarox®,2,no,no,none,stop,no,subdial,subdial,subdial,Big Date,no,no,no,no,no,no,no,no,no,no,same as L901.0 but longer pinions for thicker (MOP) dial
L901.5,Lange 1 Moonphase,2003-2018,Manual,30.40,5.90,398,54,0,9,72,"  21,600   ",screws,Nivarox®,2,no,no,none,stop,no,subdial,subdial,subdial,Big Date,no,no,no,no,no,no,yes,no,no,no,
L901.7,"Lange 1 ""Luna Mundi"" (S.)",2003-2004,Manual,30.40,5.90,402,54,0,9,72,"  21,600   ",screws,Nivarox®,2,no,no,none,stop,no,subdial,subdial,subdial,Big Date,no,no,no,no,no,no,yes,no,no,no,4 add'l parts vs. L901.8 rotate moon disc in opposite direction
